Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-03-2015,AQS,60290010,1,35,ug/m3 LC,99,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01-06-2015,AQS,60290010,1,70,ug/m3 LC,158,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01-09-2015,AQS,60290010,1,91.1,ug/m3 LC,169,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01-12-2015,AQS,60290010,1,32.6,ug/m3 LC,94,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01/15/2015,AQS,60290010,1,31.9,ug/m3 LC,93,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01/18/2015,AQS,60290010,1,51.5,ug/m3 LC,140,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01/21/2015,AQS,60290010,1,11.8,ug/m3 LC,49,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01/30/2015,AQS,60290010,1,41,ug/m3 LC,115,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
01/31/2015,AQS,60290010,1,29.3,ug/m3 LC,87,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02-08-2015,AQS,60290010,1,9.9,ug/m3 LC,41,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/14/2015,AQS,60290010,1,37.4,ug/m3 LC,106,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/17/2015,AQS,60290010,1,46.8,ug/m3 LC,129,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/20/2015,AQS,60290010,1,50.3,ug/m3 LC,137,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/23/2015,AQS,60290010,1,3.1,ug/m3 LC,13,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/25/2015,AQS,60290010,1,20.4,ug/m3 LC,68,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
02/26/2015,AQS,60290010,1,24.4,ug/m3 LC,77,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03-01-2015,AQS,60290010,1,3.5,ug/m3 LC,15,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03-04-2015,AQS,60290010,1,9.5,ug/m3 LC,40,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03-07-2015,AQS,60290010,1,23.8,ug/m3 LC,76,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03-10-2015,AQS,60290010,1,15,ug/m3 LC,57,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03/13/2015,AQS,60290010,1,11.8,ug/m3 LC,49,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
03/16/2015,AQS,60290010,1,7.4,ug/m3 LC,31,Bakersfield-Golden/M St,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
