Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2017,AQS,60290007,1,0.039,ppm,36,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-02-2017,AQS,60290007,1,0.034,ppm,31,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-03-2017,AQS,60290007,1,0.028,ppm,26,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-04-2017,AQS,60290007,1,0.022,ppm,20,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-05-2017,AQS,60290007,1,0.026,ppm,24,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-06-2017,AQS,60290007,1,0.026,ppm,24,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-07-2017,AQS,60290007,1,0.029,ppm,27,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-08-2017,AQS,60290007,1,0.029,ppm,27,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-09-2017,AQS,60290007,1,0.037,ppm,34,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-10-2017,AQS,60290007,1,0.037,ppm,34,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-11-2017,AQS,60290007,1,0.041,ppm,38,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-12-2017,AQS,60290007,1,0.036,ppm,33,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/13/2017,AQS,60290007,1,0.026,ppm,24,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/14/2017,AQS,60290007,1,0.024,ppm,22,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/15/2017,AQS,60290007,1,0.024,ppm,22,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/16/2017,AQS,60290007,1,0.022,ppm,20,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/17/2017,AQS,60290007,1,0.024,ppm,22,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/18/2017,AQS,60290007,1,0.033,ppm,31,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/19/2017,AQS,60290007,1,0.034,ppm,31,Edison,17,100,44201,Ozone,12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
