Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60530002,1,0.038,ppm,35,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-02-2014,AQS,60530002,1,0.037,ppm,34,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-03-2014,AQS,60530002,1,0.03,ppm,28,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-04-2014,AQS,60530002,1,0.032,ppm,30,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-05-2014,AQS,60530002,1,0.039,ppm,36,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-06-2014,AQS,60530002,1,0.039,ppm,36,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-07-2014,AQS,60530002,1,0.035,ppm,32,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-08-2014,AQS,60530002,1,0.033,ppm,31,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-09-2014,AQS,60530002,1,0.035,ppm,32,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-10-2014,AQS,60530002,1,0.033,ppm,31,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-11-2014,AQS,60530002,1,0.028,ppm,26,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-12-2014,AQS,60530002,1,0.03,ppm,28,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/13/2014,AQS,60530002,1,0.034,ppm,31,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/14/2014,AQS,60530002,1,0.035,ppm,32,Carmel Valley,17,100,44201,Ozone,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
