"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2012","AQS","060650003","1","35","ug/m3 SC","32","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/10/2012","AQS","060650003","1","47","ug/m3 SC","44","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/16/2012","AQS","060650003","1","17","ug/m3 SC","16","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/22/2012","AQS","060650003","1","20","ug/m3 SC","19","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/28/2012","AQS","060650003","1","24","ug/m3 SC","22","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/03/2012","AQS","060650003","1","19","ug/m3 SC","18","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/09/2012","AQS","060650003","1","25","ug/m3 SC","23","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/15/2012","AQS","060650003","1","18","ug/m3 SC","17","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/21/2012","AQS","060650003","1","26","ug/m3 SC","24","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/27/2012","AQS","060650003","1","14","ug/m3 SC","13","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/04/2012","AQS","060650003","1","15","ug/m3 SC","14","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/10/2012","AQS","060650003","1","38","ug/m3 SC","35","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/16/2012","AQS","060650003","1","20","ug/m3 SC","19","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/22/2012","AQS","060650003","1","28","ug/m3 SC","26","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/28/2012","AQS","060650003","1","18","ug/m3 SC","17","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/03/2012","AQS","060650003","1","26","ug/m3 SC","24","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/09/2012","AQS","060650003","1","37","ug/m3 SC","34","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/21/2012","AQS","060650003","1","30","ug/m3 SC","28","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/27/2012","AQS","060650003","1","17","ug/m3 SC","16","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"05/03/2012","AQS","060650003","1","18","ug/m3 SC","17","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"05/09/2012","AQS","060650003","1","40","ug/m3 SC","37","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"05/15/2012","AQS","060650003","1","31","ug/m3 SC","29","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"05/21/2012","AQS","060650003","1","37","ug/m3 SC","34","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"05/27/2012","AQS","060650003","1","22","ug/m3 SC","20","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"06/02/2012","AQS","060650003","1","36","ug/m3 SC","33","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"06/08/2012","AQS","060650003","1","34","ug/m3 SC","31","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"06/14/2012","AQS","060650003","1","18","ug/m3 SC","17","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"06/20/2012","AQS","060650003","1","28","ug/m3 SC","26","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"06/26/2012","AQS","060650003","1","33","ug/m3 SC","31","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"07/02/2012","AQS","060650003","1","19","ug/m3 SC","18","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"07/08/2012","AQS","060650003","1","25","ug/m3 SC","23","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"07/14/2012","AQS","060650003","1","23","ug/m3 SC","21","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"07/20/2012","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"07/26/2012","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/01/2012","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/07/2012","AQS","060650003","1","32","ug/m3 SC","30","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/13/2012","AQS","060650003","1","31","ug/m3 SC","29","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/19/2012","AQS","060650003","1","28","ug/m3 SC","26","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/25/2012","AQS","060650003","1","21","ug/m3 SC","19","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"08/31/2012","AQS","060650003","1","35","ug/m3 SC","32","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"09/06/2012","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"09/18/2012","AQS","060650003","1","33","ug/m3 SC","31","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"09/24/2012","AQS","060650003","1","32","ug/m3 SC","30","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"09/30/2012","AQS","060650003","1","45","ug/m3 SC","42","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"10/06/2012","AQS","060650003","1","32","ug/m3 SC","30","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"10/12/2012","AQS","060650003","1","11","ug/m3 SC","10","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"10/18/2012","AQS","060650003","1","20","ug/m3 SC","19","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"10/24/2012","AQS","060650003","1","26","ug/m3 SC","24","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"10/30/2012","AQS","060650003","1","52","ug/m3 SC","48","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"11/05/2012","AQS","060650003","1","41","ug/m3 SC","38","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"11/11/2012","AQS","060650003","1","16","ug/m3 SC","15","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"11/17/2012","AQS","060650003","1","10","ug/m3 SC","9","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"11/23/2012","AQS","060650003","1","39","ug/m3 SC","36","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"11/29/2012","AQS","060650003","1","15","ug/m3 SC","14","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"12/05/2012","AQS","060650003","1","24","ug/m3 SC","22","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"12/11/2012","AQS","060650003","1","36","ug/m3 SC","33","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"12/17/2012","AQS","060650003","1","13","ug/m3 SC","12","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"12/23/2012","AQS","060650003","1","15","ug/m3 SC","14","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"12/29/2012","AQS","060650003","1","16","ug/m3 SC","15","Norco","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/04/2012","AQS","060650012","1","9","ug/m3 SC","8","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/10/2012","AQS","060650012","1","13","ug/m3 SC","12","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/16/2012","AQS","060650012","1","9","ug/m3 SC","8","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/22/2012","AQS","060650012","1","14","ug/m3 SC","13","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/28/2012","AQS","060650012","1","11","ug/m3 SC","10","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/03/2012","AQS","060650012","1","6","ug/m3 SC","6","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/09/2012","AQS","060650012","1","14","ug/m3 SC","13","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
