"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","060670006","1","52.1","ug/m3 LC","142","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/02/2015","AQS","060670006","1","52.7","ug/m3 LC","143","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/03/2015","AQS","060670006","1","45.7","ug/m3 LC","126","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/04/2015","AQS","060670006","1","48.7","ug/m3 LC","134","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/05/2015","AQS","060670006","1","30","ug/m3 LC","89","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/06/2015","AQS","060670006","1","25.9","ug/m3 LC","80","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/07/2015","AQS","060670006","1","23.4","ug/m3 LC","75","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/08/2015","AQS","060670006","1","27","ug/m3 LC","82","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/09/2015","AQS","060670006","1","37.8","ug/m3 LC","107","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/10/2015","AQS","060670006","1","49.2","ug/m3 LC","135","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/11/2015","AQS","060670006","1","54.5","ug/m3 LC","148","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/12/2015","AQS","060670006","1","33.2","ug/m3 LC","95","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/13/2015","AQS","060670006","1","37","ug/m3 LC","105","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/14/2015","AQS","060670006","1","34.8","ug/m3 LC","99","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/15/2015","AQS","060670006","1","27.9","ug/m3 LC","84","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/16/2015","AQS","060670006","1","18.4","ug/m3 LC","64","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/17/2015","AQS","060670006","1","19.8","ug/m3 LC","67","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/18/2015","AQS","060670006","1","22.3","ug/m3 LC","72","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/19/2015","AQS","060670006","1","14.7","ug/m3 LC","56","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/20/2015","AQS","060670006","1","19.6","ug/m3 LC","67","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/21/2015","AQS","060670006","1","22.9","ug/m3 LC","74","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/22/2015","AQS","060670006","1","19.5","ug/m3 LC","67","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/23/2015","AQS","060670006","1","28.7","ug/m3 LC","86","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/24/2015","AQS","060670006","1","19.2","ug/m3 LC","66","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/25/2015","AQS","060670006","1","12.3","ug/m3 LC","51","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/26/2015","AQS","060670006","1","20.6","ug/m3 LC","69","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/27/2015","AQS","060670006","1","17.8","ug/m3 LC","63","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/28/2015","AQS","060670006","1","20.3","ug/m3 LC","68","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/29/2015","AQS","060670006","1","17.2","ug/m3 LC","62","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/30/2015","AQS","060670006","1","16.4","ug/m3 LC","60","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/31/2015","AQS","060670006","1","6.5","ug/m3 LC","27","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/01/2015","AQS","060670006","1","23","ug/m3 LC","74","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/02/2015","AQS","060670006","1","25","ug/m3 LC","78","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/03/2015","AQS","060670006","1","25.2","ug/m3 LC","79","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
