"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","060670002","1","20","ug/m3 SC","19","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/07/2016","AQS","060670002","1","6","ug/m3 SC","6","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/13/2016","AQS","060670002","1","10","ug/m3 SC","9","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/19/2016","AQS","060670002","1","3","ug/m3 SC","3","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/25/2016","AQS","060670002","1","8","ug/m3 SC","7","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/31/2016","AQS","060670002","1","4","ug/m3 SC","4","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/06/2016","AQS","060670002","1","12","ug/m3 SC","11","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/12/2016","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/18/2016","AQS","060670002","1","6","ug/m3 SC","6","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/24/2016","AQS","060670002","1","17","ug/m3 SC","16","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/01/2016","AQS","060670002","1","13","ug/m3 SC","12","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/07/2016","AQS","060670002","1","6","ug/m3 SC","6","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/13/2016","AQS","060670002","1","4","ug/m3 SC","4","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/19/2016","AQS","060670002","1","8","ug/m3 SC","7","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/25/2016","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/31/2016","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/06/2016","AQS","060670002","1","26","ug/m3 SC","24","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/12/2016","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/18/2016","AQS","060670002","1","16","ug/m3 SC","15","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/24/2016","AQS","060670002","1","8","ug/m3 SC","7","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/30/2016","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/06/2016","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/12/2016","AQS","060670002","1","20","ug/m3 SC","19","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/18/2016","AQS","060670002","1","19","ug/m3 SC","18","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/24/2016","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/30/2016","AQS","060670002","1","20","ug/m3 SC","19","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/05/2016","AQS","060670002","1","17","ug/m3 SC","16","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/11/2016","AQS","060670002","1","20","ug/m3 SC","19","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
