"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/02/2017","AQS","060730001","1","0.037","ppm","34","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/03/2017","AQS","060730001","1","0.022","ppm","20","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/04/2017","AQS","060730001","1","0.028","ppm","26","Chula Vista","14","82.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/05/2017","AQS","060730001","1","0.024","ppm","22","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/06/2017","AQS","060730001","1","0.036","ppm","33","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/07/2017","AQS","060730001","1","0.031","ppm","29","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/08/2017","AQS","060730001","1","0.038","ppm","35","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/09/2017","AQS","060730001","1","0.015","ppm","14","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/10/2017","AQS","060730001","1","0.034","ppm","31","Chula Vista","17","100.0000","44201","Ozone","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
