"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/05/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/06/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/07/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/08/2017","AQS","060771002","3","0.1","ppm","1","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/09/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/10/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/11/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/12/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/14/2017","AQS","060771002","3","0.5","ppm","6","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/15/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/16/2017","AQS","060771002","3","0.5","ppm","6","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/17/2017","AQS","060771002","3","0.5","ppm","6","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/18/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","22","92.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/19/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/20/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/21/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/22/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/23/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/24/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/25/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/26/2017","AQS","060771002","3","0.7","ppm","8","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/27/2017","AQS","060771002","3","0.7","ppm","8","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/28/2017","AQS","060771002","3","0.8","ppm","9","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/29/2017","AQS","060771002","3","0.9","ppm","10","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/30/2017","AQS","060771002","3","1.1","ppm","13","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/31/2017","AQS","060771002","3","1.3","ppm","15","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/01/2017","AQS","060771002","3","0.7","ppm","8","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/02/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/04/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/05/2017","AQS","060771002","3","0.5","ppm","6","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/06/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/07/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/08/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/09/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/10/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/11/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/12/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/13/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/16/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/17/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/18/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/19/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/20/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/21/2017","AQS","060771002","3","0.2","ppm","2","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/22/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/23/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/24/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/25/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/26/2017","AQS","060771002","3","0.4","ppm","5","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/27/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/28/2017","AQS","060771002","3","0.3","ppm","3","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/01/2017","AQS","060771002","3","0.6","ppm","7","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/02/2017","AQS","060771002","3","0.7","ppm","8","Stockton-Hazelton","24","100.0000","42101","Carbon monoxide","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
