Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60830011,3,22.5,ug/m3 LC,73,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-02-2012,AQS,60830011,3,14.2,ug/m3 LC,55,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-03-2012,AQS,60830011,3,10.8,ug/m3 LC,45,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-04-2012,AQS,60830011,3,12.9,ug/m3 LC,53,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-05-2012,AQS,60830011,3,14.9,ug/m3 LC,57,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-06-2012,AQS,60830011,3,15.1,ug/m3 LC,57,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-07-2012,AQS,60830011,3,21.1,ug/m3 LC,70,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-08-2012,AQS,60830011,3,11.5,ug/m3 LC,48,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-09-2012,AQS,60830011,3,8.1,ug/m3 LC,34,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-10-2012,AQS,60830011,3,12.8,ug/m3 LC,52,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-11-2012,AQS,60830011,3,13.4,ug/m3 LC,54,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-12-2012,AQS,60830011,3,10.1,ug/m3 LC,42,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/13/2012,AQS,60830011,3,9.3,ug/m3 LC,39,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/14/2012,AQS,60830011,3,12.7,ug/m3 LC,52,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/15/2012,AQS,60830011,3,13.4,ug/m3 LC,54,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/16/2012,AQS,60830011,3,10.2,ug/m3 LC,43,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/17/2012,AQS,60830011,3,10.9,ug/m3 LC,45,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/18/2012,AQS,60830011,3,12.8,ug/m3 LC,52,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/19/2012,AQS,60830011,3,14.4,ug/m3 LC,56,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/20/2012,AQS,60830011,3,10.7,ug/m3 LC,45,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/21/2012,AQS,60830011,3,9,ug/m3 LC,38,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/22/2012,AQS,60830011,3,11.2,ug/m3 LC,47,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/23/2012,AQS,60830011,3,6.5,ug/m3 LC,27,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/24/2012,AQS,60830011,3,6,ug/m3 LC,25,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/25/2012,AQS,60830011,3,6.8,ug/m3 LC,28,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/26/2012,AQS,60830011,3,5.8,ug/m3 LC,24,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/27/2012,AQS,60830011,3,6.4,ug/m3 LC,27,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/28/2012,AQS,60830011,3,8.3,ug/m3 LC,35,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/29/2012,AQS,60830011,3,7.9,ug/m3 LC,33,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/30/2012,AQS,60830011,3,10.7,ug/m3 LC,45,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01/31/2012,AQS,60830011,3,14.8,ug/m3 LC,57,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-01-2012,AQS,60830011,3,14.8,ug/m3 LC,57,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-02-2012,AQS,60830011,3,12.3,ug/m3 LC,51,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-03-2012,AQS,60830011,3,8.2,ug/m3 LC,34,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-04-2012,AQS,60830011,3,7.2,ug/m3 LC,30,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-05-2012,AQS,60830011,3,6.8,ug/m3 LC,28,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-06-2012,AQS,60830011,3,8.7,ug/m3 LC,36,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-07-2012,AQS,60830011,3,9.3,ug/m3 LC,39,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-08-2012,AQS,60830011,3,9,ug/m3 LC,38,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-09-2012,AQS,60830011,3,9.6,ug/m3 LC,40,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-10-2012,AQS,60830011,3,9.9,ug/m3 LC,41,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-11-2012,AQS,60830011,3,4.7,ug/m3 LC,20,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
02-12-2012,AQS,60830011,3,8.2,ug/m3 LC,34,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
