Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60830008,3,21,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-02-2014,AQS,60830008,3,15,ug/m3 SC,14,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-03-2014,AQS,60830008,3,23,ug/m3 SC,21,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-04-2014,AQS,60830008,3,20,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-05-2014,AQS,60830008,3,21,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-06-2014,AQS,60830008,3,11,ug/m3 SC,10,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-07-2014,AQS,60830008,3,13,ug/m3 SC,12,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-08-2014,AQS,60830008,3,20,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-09-2014,AQS,60830008,3,21,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-10-2014,AQS,60830008,3,22,ug/m3 SC,20,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-11-2014,AQS,60830008,3,18,ug/m3 SC,17,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-12-2014,AQS,60830008,3,11,ug/m3 SC,10,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/13/2014,AQS,60830008,3,17,ug/m3 SC,16,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/14/2014,AQS,60830008,3,11,ug/m3 SC,10,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/15/2014,AQS,60830008,3,9,ug/m3 SC,8,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
