Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2015,AQS,60830008,1,7,ppb,7,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-02-2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-03-2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-04-2015,AQS,60830008,1,9,ppb,8,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-05-2015,AQS,60830008,1,11,ppb,10,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-06-2015,AQS,60830008,1,12,ppb,11,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-07-2015,AQS,60830008,1,22,ppb,21,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-08-2015,AQS,60830008,1,13,ppb,12,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-09-2015,AQS,60830008,1,15,ppb,14,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-10-2015,AQS,60830008,1,16,ppb,15,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-11-2015,AQS,60830008,1,10,ppb,9,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-12-2015,AQS,60830008,1,8,ppb,8,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/13/2015,AQS,60830008,1,16,ppb,15,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/14/2015,AQS,60830008,1,10,ppb,9,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/15/2015,AQS,60830008,1,10,ppb,9,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/16/2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/17/2015,AQS,60830008,1,13,ppb,12,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/18/2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/19/2015,AQS,60830008,1,7,ppb,7,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/20/2015,AQS,60830008,1,10,ppb,9,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/21/2015,AQS,60830008,1,9,ppb,8,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/22/2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/23/2015,AQS,60830008,1,14,ppb,13,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/24/2015,AQS,60830008,1,14,ppb,13,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/25/2015,AQS,60830008,1,13,ppb,12,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/26/2015,AQS,60830008,1,17,ppb,16,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/27/2015,AQS,60830008,1,10,ppb,9,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/31/2015,AQS,60830008,1,9,ppb,8,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-01-2015,AQS,60830008,1,15,ppb,14,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-02-2015,AQS,60830008,1,11,ppb,10,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-03-2015,AQS,60830008,1,11,ppb,10,El Capitan,22,92,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-04-2015,AQS,60830008,1,11,ppb,10,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-05-2015,AQS,60830008,1,12,ppb,11,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-06-2015,AQS,60830008,1,9,ppb,8,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-07-2015,AQS,60830008,1,8,ppb,8,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-08-2015,AQS,60830008,1,6,ppb,6,El Capitan,23,96,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-09-2015,AQS,60830008,1,4,ppb,4,El Capitan,21,88,42602,Nitrogen dioxide (NO2),42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
