"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/2015","AQS","060953001","2","18","ug/m3 SC","17","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/12/2015","AQS","060953001","2","15","ug/m3 SC","14","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/18/2015","AQS","060953001","2","10","ug/m3 SC","9","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/28/2015","AQS","060953001","2","17","ug/m3 SC","16","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/30/2015","AQS","060953001","2","8","ug/m3 SC","7","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/05/2015","AQS","060953001","2","9","ug/m3 SC","8","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/11/2015","AQS","060953001","2","6","ug/m3 SC","6","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/17/2015","AQS","060953001","2","7","ug/m3 SC","6","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/23/2015","AQS","060953001","2","10","ug/m3 SC","9","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/01/2015","AQS","060953001","2","5","ug/m3 SC","5","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/12/2015","AQS","060953001","2","7","ug/m3 SC","6","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/14/2015","AQS","060953001","2","13","ug/m3 SC","12","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/19/2015","AQS","060953001","2","10","ug/m3 SC","9","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/25/2015","AQS","060953001","2","5","ug/m3 SC","5","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"03/31/2015","AQS","060953001","2","4","ug/m3 SC","4","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"04/06/2015","AQS","060953001","2","4","ug/m3 SC","4","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"04/12/2015","AQS","060953001","2","5","ug/m3 SC","5","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
