"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2013","AQS","060970003","1","32.2","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/02/2013","AQS","060970003","1","32.2","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/03/2013","AQS","060970003","1","30.6","ppb","28","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/04/2013","AQS","060970003","1","27.5","ppb","25","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/05/2013","AQS","060970003","1","24.8","ppb","23","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/06/2013","AQS","060970003","1","20.5","ppb","19","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/07/2013","AQS","060970003","1","26.3","ppb","25","Santa Rosa - 5th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/08/2013","AQS","060970003","1","23.5","ppb","22","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/09/2013","AQS","060970003","1","29.8","ppb","27","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/10/2013","AQS","060970003","1","32.6","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/11/2013","AQS","060970003","1","37.6","ppb","35","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/12/2013","AQS","060970003","1","23.3","ppb","22","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/13/2013","AQS","060970003","1","29.1","ppb","27","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/14/2013","AQS","060970003","1","32.6","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/15/2013","AQS","060970003","1","39.6","ppb","37","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/16/2013","AQS","060970003","1","32.9","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/17/2013","AQS","060970003","1","35","ppb","33","Santa Rosa - 5th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/18/2013","AQS","060970003","1","38.6","ppb","36","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/19/2013","AQS","060970003","1","33.9","ppb","31","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/20/2013","AQS","060970003","1","32.6","ppb","30","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/21/2013","AQS","060970003","1","34.5","ppb","32","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/22/2013","AQS","060970003","1","34.6","ppb","32","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/23/2013","AQS","060970003","1","29.9","ppb","27","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/24/2013","AQS","060970003","1","23.6","ppb","22","Santa Rosa - 5th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
