"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","060970004","3","11.2","ug/m3 LC","47","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/02/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/03/2017","AQS","060970004","3","6.4","ug/m3 LC","27","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/04/2017","AQS","060970004","3","3.5","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/05/2017","AQS","060970004","3","9.9","ug/m3 LC","41","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/06/2017","AQS","060970004","3","8.9","ug/m3 LC","37","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/07/2017","AQS","060970004","3","4.4","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/08/2017","AQS","060970004","3","1","ug/m3 LC","4","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/09/2017","AQS","060970004","3","2.6","ug/m3 LC","11","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/10/2017","AQS","060970004","3","0.6","ug/m3 LC","3","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/11/2017","AQS","060970004","3","4.1","ug/m3 LC","17","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/12/2017","AQS","060970004","3","7","ug/m3 LC","29","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/13/2017","AQS","060970004","3","8.2","ug/m3 LC","34","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/14/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/15/2017","AQS","060970004","3","13.3","ug/m3 LC","54","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/16/2017","AQS","060970004","3","18.2","ug/m3 LC","64","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/17/2017","AQS","060970004","3","19.5","ug/m3 LC","67","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/18/2017","AQS","060970004","3","16","ug/m3 LC","59","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/19/2017","AQS","060970004","3","3.7","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/20/2017","AQS","060970004","3","4.2","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/21/2017","AQS","060970004","3","5.1","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/22/2017","AQS","060970004","3","3.5","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/23/2017","AQS","060970004","3","5.5","ug/m3 LC","23","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/24/2017","AQS","060970004","3","7.8","ug/m3 LC","33","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/25/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/26/2017","AQS","060970004","3","11.5","ug/m3 LC","48","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/27/2017","AQS","060970004","3","8.2","ug/m3 LC","34","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/28/2017","AQS","060970004","3","12.4","ug/m3 LC","52","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/29/2017","AQS","060970004","3","14.3","ug/m3 LC","56","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/30/2017","AQS","060970004","3","12.7","ug/m3 LC","52","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"01/31/2017","AQS","060970004","3","14.5","ug/m3 LC","56","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/01/2017","AQS","060970004","3","20.1","ug/m3 LC","68","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/02/2017","AQS","060970004","3","9.2","ug/m3 LC","38","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/03/2017","AQS","060970004","3","5.1","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/04/2017","AQS","060970004","3","5","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/05/2017","AQS","060970004","3","7","ug/m3 LC","29","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/06/2017","AQS","060970004","3","4.5","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/07/2017","AQS","060970004","3","3.1","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/08/2017","AQS","060970004","3","3","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/09/2017","AQS","060970004","3","4.3","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/10/2017","AQS","060970004","3","5.5","ug/m3 LC","23","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/11/2017","AQS","060970004","3","7.7","ug/m3 LC","32","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/12/2017","AQS","060970004","3","5.3","ug/m3 LC","22","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/13/2017","AQS","060970004","3","7.2","ug/m3 LC","30","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/14/2017","AQS","060970004","3","8","ug/m3 LC","33","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/15/2017","AQS","060970004","3","11.5","ug/m3 LC","48","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/16/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/17/2017","AQS","060970004","3","4.5","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/18/2017","AQS","060970004","3","3","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/19/2017","AQS","060970004","3","3.7","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/20/2017","AQS","060970004","3","3.6","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/21/2017","AQS","060970004","3","3.6","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/22/2017","AQS","060970004","3","4.7","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/23/2017","AQS","060970004","3","5.1","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/24/2017","AQS","060970004","3","7.7","ug/m3 LC","32","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/25/2017","AQS","060970004","3","8.5","ug/m3 LC","35","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/26/2017","AQS","060970004","3","7.2","ug/m3 LC","30","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/27/2017","AQS","060970004","3","5.4","ug/m3 LC","23","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"02/28/2017","AQS","060970004","3","6.9","ug/m3 LC","29","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/01/2017","AQS","060970004","3","5.9","ug/m3 LC","25","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/02/2017","AQS","060970004","3","5.8","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/03/2017","AQS","060970004","3","6.1","ug/m3 LC","25","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/04/2017","AQS","060970004","3","5.8","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/05/2017","AQS","060970004","3","3.2","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/06/2017","AQS","060970004","3","5.2","ug/m3 LC","22","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/07/2017","AQS","060970004","3","6.4","ug/m3 LC","27","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/08/2017","AQS","060970004","3","4.3","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/09/2017","AQS","060970004","3","4.3","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/10/2017","AQS","060970004","3","5","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/11/2017","AQS","060970004","3","5.8","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/12/2017","AQS","060970004","3","3.6","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/13/2017","AQS","060970004","3","4.2","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/14/2017","AQS","060970004","3","6.2","ug/m3 LC","26","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/15/2017","AQS","060970004","3","3.3","ug/m3 LC","14","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/16/2017","AQS","060970004","3","3.7","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/17/2017","AQS","060970004","3","4.6","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/18/2017","AQS","060970004","3","4.7","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/19/2017","AQS","060970004","3","1.5","ug/m3 LC","6","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/20/2017","AQS","060970004","3","3.3","ug/m3 LC","14","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/21/2017","AQS","060970004","3","3.6","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/22/2017","AQS","060970004","3","4.4","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/23/2017","AQS","060970004","3","5.3","ug/m3 LC","22","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/24/2017","AQS","060970004","3","3","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/25/2017","AQS","060970004","3","5.8","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/26/2017","AQS","060970004","3","3.5","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/27/2017","AQS","060970004","3","2.9","ug/m3 LC","12","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/28/2017","AQS","060970004","3","3.1","ug/m3 LC","13","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/29/2017","AQS","060970004","3","7.8","ug/m3 LC","33","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/30/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"03/31/2017","AQS","060970004","3","6.5","ug/m3 LC","27","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/01/2017","AQS","060970004","3","7.2","ug/m3 LC","30","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/02/2017","AQS","060970004","3","8.1","ug/m3 LC","34","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/03/2017","AQS","060970004","3","7.1","ug/m3 LC","30","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/04/2017","AQS","060970004","3","8.7","ug/m3 LC","36","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/05/2017","AQS","060970004","3","6.6","ug/m3 LC","28","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/06/2017","AQS","060970004","3","6.2","ug/m3 LC","26","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/07/2017","AQS","060970004","3","7.2","ug/m3 LC","30","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/08/2017","AQS","060970004","3","3.5","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/09/2017","AQS","060970004","3","4.5","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/10/2017","AQS","060970004","3","5.4","ug/m3 LC","23","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/11/2017","AQS","060970004","3","6.8","ug/m3 LC","28","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/12/2017","AQS","060970004","3","2.4","ug/m3 LC","10","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/13/2017","AQS","060970004","3","4.7","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/14/2017","AQS","060970004","3","4.8","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/15/2017","AQS","060970004","3","5.1","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/16/2017","AQS","060970004","3","4.8","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/17/2017","AQS","060970004","3","5.1","ug/m3 LC","21","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/18/2017","AQS","060970004","3","3.8","ug/m3 LC","16","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/19/2017","AQS","060970004","3","4.2","ug/m3 LC","18","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/20/2017","AQS","060970004","3","5.5","ug/m3 LC","23","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/21/2017","AQS","060970004","3","5.7","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/22/2017","AQS","060970004","3","4.5","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/23/2017","AQS","060970004","3","4.5","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/24/2017","AQS","060970004","3","4.1","ug/m3 LC","17","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/25/2017","AQS","060970004","3","2.6","ug/m3 LC","11","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/26/2017","AQS","060970004","3","2.7","ug/m3 LC","11","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/27/2017","AQS","060970004","3","3.7","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/28/2017","AQS","060970004","3","5.7","ug/m3 LC","24","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/29/2017","AQS","060970004","3","6.5","ug/m3 LC","27","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"04/30/2017","AQS","060970004","3","6.4","ug/m3 LC","27","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"05/01/2017","AQS","060970004","3","5.9","ug/m3 LC","25","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"05/02/2017","AQS","060970004","3","4.8","ug/m3 LC","20","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"05/03/2017","AQS","060970004","3","3.7","ug/m3 LC","15","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
"05/04/2017","AQS","060970004","3","4.6","ug/m3 LC","19","Sebastopol","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.403765","-122.818294"
